source,target,relationship
22329.4245992f3394b6352631e4e65344893a295b7fb0,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22329.4245992f3394b6352631e4e65344893a295b7fb0,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22329.4245992f3394b6352631e4e65344893a295b7fb0,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22329.4245992f3394b6352631e4e65344893a295b7fb0,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22332.f857ba4c86c6635c270c84d5e6f9e9b6a1ee2568,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22332.f857ba4c86c6635c270c84d5e6f9e9b6a1ee2568,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22332.f857ba4c86c6635c270c84d5e6f9e9b6a1ee2568,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22332.f857ba4c86c6635c270c84d5e6f9e9b6a1ee2568,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22338.9868a653e4719a02abdc2c06cc25e6f1f906ce71,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22338.9868a653e4719a02abdc2c06cc25e6f1f906ce71,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22338.9868a653e4719a02abdc2c06cc25e6f1f906ce71,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22338.9868a653e4719a02abdc2c06cc25e6f1f906ce71,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22347.b08cc3ad20101d2987b3d10962b7984047fd30ee,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22347.b08cc3ad20101d2987b3d10962b7984047fd30ee,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22347.b08cc3ad20101d2987b3d10962b7984047fd30ee,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22347.b08cc3ad20101d2987b3d10962b7984047fd30ee,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22353.c1f1b7ee0ad7022f563ddeb8e453baafaa8f952e,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22353.c1f1b7ee0ad7022f563ddeb8e453baafaa8f952e,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22353.c1f1b7ee0ad7022f563ddeb8e453baafaa8f952e,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22353.c1f1b7ee0ad7022f563ddeb8e453baafaa8f952e,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22359.4136e5bf0605c682fed2fe0d0d3dd8d5818a8d71,Bon Be,mentioned
22359.4136e5bf0605c682fed2fe0d0d3dd8d5818a8d71,Pole Dapt Robbory Unt,mentioned
22359.4136e5bf0605c682fed2fe0d0d3dd8d5818a8d71,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22359.4136e5bf0605c682fed2fe0d0d3dd8d5818a8d71,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22359.4136e5bf0605c682fed2fe0d0d3dd8d5818a8d71,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22359.4136e5bf0605c682fed2fe0d0d3dd8d5818a8d71,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22365.b7d9728a8ef3e8ee148422be57536439dc12fed1,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22365.b7d9728a8ef3e8ee148422be57536439dc12fed1,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22365.b7d9728a8ef3e8ee148422be57536439dc12fed1,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22365.b7d9728a8ef3e8ee148422be57536439dc12fed1,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22368.0416b216d9d121dcea41937c7d02c446ef211ac0,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22368.0416b216d9d121dcea41937c7d02c446ef211ac0,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22368.0416b216d9d121dcea41937c7d02c446ef211ac0,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22368.0416b216d9d121dcea41937c7d02c446ef211ac0,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22370.e2830a0c2bd4298d13a422547fa9e565ccc69e4a,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22370.e2830a0c2bd4298d13a422547fa9e565ccc69e4a,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22370.e2830a0c2bd4298d13a422547fa9e565ccc69e4a,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22370.e2830a0c2bd4298d13a422547fa9e565ccc69e4a,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22372.63d01c8c2fca7ab28227ac32ce46c10ae9c0979a,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22372.63d01c8c2fca7ab28227ac32ce46c10ae9c0979a,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22372.63d01c8c2fca7ab28227ac32ce46c10ae9c0979a,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22372.63d01c8c2fca7ab28227ac32ce46c10ae9c0979a,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22377.a5be9c2de9d947e2f7e7b596b33ded96b67b52eb,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22377.a5be9c2de9d947e2f7e7b596b33ded96b67b52eb,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22377.a5be9c2de9d947e2f7e7b596b33ded96b67b52eb,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22377.a5be9c2de9d947e2f7e7b596b33ded96b67b52eb,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22382.1d2426d1b7154830681f937d9d18673dc768a271,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22382.1d2426d1b7154830681f937d9d18673dc768a271,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22382.1d2426d1b7154830681f937d9d18673dc768a271,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22382.1d2426d1b7154830681f937d9d18673dc768a271,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22387.a59061ea51ee3a5bb313f94902385bc61e850b14,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22387.a59061ea51ee3a5bb313f94902385bc61e850b14,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22387.a59061ea51ee3a5bb313f94902385bc61e850b14,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22387.a59061ea51ee3a5bb313f94902385bc61e850b14,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22391.bddf7df2edbbe99797db94bdb6a74abdbf002de6,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22391.bddf7df2edbbe99797db94bdb6a74abdbf002de6,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22391.bddf7df2edbbe99797db94bdb6a74abdbf002de6,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22391.bddf7df2edbbe99797db94bdb6a74abdbf002de6,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
22405.7f60ed20930342be1a611482803d2107ba5b8795,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,is child of
22405.7f60ed20930342be1a611482803d2107ba5b8795,1.efc4ae9ddb994ad14669fc6ff0080a12174d334d,has ancestor
22405.7f60ed20930342be1a611482803d2107ba5b8795,428.c63e1a822b848cebc4643786770dc250498bbf00,has ancestor
22405.7f60ed20930342be1a611482803d2107ba5b8795,22258.b78df10c9b30e4ed5cd6204c9a8a5641777edd3b,has ancestor
